model,fold,tpr,fpr
IR,5,0.5869565217391305,0.08619091751621873
IR,5,0.5869565217391305,0.08665430954587582
IR,5,0.5904628330995793,0.08665430954587582
IR,5,0.5904628330995793,0.08897126969416126
IR,5,0.5918653576437588,0.08897126969416126
IR,5,0.5918653576437588,0.08943466172381835
IR,5,0.5946704067321178,0.08943466172381835
IR,5,0.5946704067321178,0.08989805375347544
IR,5,0.5960729312762973,0.08989805375347544
IR,5,0.5960729312762973,0.09128822984244671
IR,5,0.5974754558204769,0.09128822984244671
IR,5,0.5974754558204769,0.0917516218721038
IR,5,0.5981767180925667,0.0917516218721038
IR,5,0.5981767180925667,0.09267840593141798
IR,5,0.5988779803646563,0.09267840593141798
IR,5,0.5988779803646563,0.09314179796107507
IR,5,0.5995792426367461,0.09314179796107507
IR,5,0.5995792426367461,0.09360518999073215
IR,5,0.6002805049088359,0.09360518999073215
IR,5,0.6002805049088359,0.09453197405004633
IR,5,0.6009817671809257,0.09453197405004633
IR,5,0.6009817671809257,0.09499536607970342
IR,5,0.6023842917251052,0.09499536607970342
IR,5,0.6023842917251052,0.09592215013901761
IR,5,0.605890603085554,0.09592215013901761
IR,5,0.605890603085554,0.0963855421686747
IR,5,0.6065918653576438,0.0963855421686747
IR,5,0.6065918653576438,0.0968489341983318
IR,5,0.6072931276297335,0.0968489341983318
IR,5,0.6072931276297335,0.09731232622798888
IR,5,0.6093969144460029,0.09731232622798888
IR,5,0.6093969144460029,0.09823911028730306
IR,5,0.6100981767180925,0.09823911028730306
IR,5,0.6100981767180925,0.1010194624652456
IR,5,0.6122019635343618,0.1010194624652456
IR,5,0.6122019635343618,0.10194624652455977
IR,5,0.6129032258064516,0.10194624652455977
IR,5,0.6129032258064516,0.10333642261353104
IR,5,0.615007012622721,0.10333642261353104
IR,5,0.615007012622721,0.10426320667284522
IR,5,0.6164095371669004,0.10426320667284522
IR,5,0.6164095371669004,0.10472659870250231
IR,5,0.6171107994389902,0.10472659870250231
IR,5,0.6171107994389902,0.10518999073215941
IR,5,0.623422159887798,0.10518999073215941
IR,5,0.623422159887798,0.1056533827618165
IR,5,0.6262272089761571,0.1056533827618165
IR,5,0.6262272089761571,0.10611677479147359
IR,5,0.6276297335203366,0.10611677479147359
IR,5,0.6276297335203366,0.10658016682113068
IR,5,0.6283309957924264,0.10658016682113068
IR,5,0.6283309957924264,0.10750695088044486
IR,5,0.6290322580645161,0.10750695088044486
IR,5,0.6290322580645161,0.10889712696941613
IR,5,0.6297335203366059,0.10889712696941613
IR,5,0.6297335203366059,0.10936051899907322
IR,5,0.6318373071528752,0.10936051899907322
IR,5,0.6318373071528752,0.1098239110287303
IR,5,0.6346423562412342,0.1098239110287303
IR,5,0.6346423562412342,0.11075069508804448
IR,5,0.6360448807854138,0.11075069508804448
IR,5,0.6360448807854138,0.11121408711770157
IR,5,0.6367461430575035,0.11121408711770157
IR,5,0.6367461430575035,0.11214087117701575
IR,5,0.6416549789621319,0.11214087117701575
IR,5,0.6416549789621319,0.11260426320667284
IR,5,0.6444600280504909,0.11260426320667284
IR,5,0.6444600280504909,0.11306765523632993
IR,5,0.6458625525946704,0.11306765523632993
IR,5,0.6458625525946704,0.11353104726598702
IR,5,0.64726507713885,0.11353104726598702
IR,5,0.64726507713885,0.11399443929564411
IR,5,0.6479663394109397,0.11399443929564411
IR,5,0.6479663394109397,0.11492122335495829
IR,5,0.6493688639551192,0.11492122335495829
IR,5,0.6493688639551192,0.11538461538461539
IR,5,0.6542776998597476,0.11538461538461539
IR,5,0.6542776998597476,0.11584800741427248
IR,5,0.655680224403927,0.11584800741427248
IR,5,0.655680224403927,0.11631139944392957
IR,5,0.6563814866760168,0.11631139944392957
IR,5,0.6563814866760168,0.11677479147358666
IR,5,0.6570827489481066,0.11677479147358666
IR,5,0.6570827489481066,0.1190917516218721
IR,5,0.6584852734922861,0.1190917516218721
IR,5,0.6584852734922861,0.12001853568118628
IR,5,0.6598877980364657,0.12001853568118628
IR,5,0.6598877980364657,0.12094531974050046
IR,5,0.664796633941094,0.12094531974050046
IR,5,0.664796633941094,0.12140871177015755
IR,5,0.6669004207573632,0.12140871177015755
IR,5,0.6669004207573632,0.12187210379981464
IR,5,0.667601683029453,0.12187210379981464
IR,5,0.667601683029453,0.12696941612604262
IR,5,0.6697054698457223,0.12696941612604262
IR,5,0.6697054698457223,0.1274328081556997
IR,5,0.6718092566619915,0.1274328081556997
IR,5,0.6718092566619915,0.1278962001853568
IR,5,0.6739130434782609,0.1278962001853568
IR,5,0.6739130434782609,0.12882298424467098
IR,5,0.6753155680224404,0.12882298424467098
IR,5,0.6753155680224404,0.12974976830398516
IR,5,0.67671809256662,0.12974976830398516
IR,5,0.67671809256662,0.13021316033364227
IR,5,0.6774193548387096,0.13021316033364227
IR,5,0.6774193548387096,0.13113994439295645
IR,5,0.6781206171107994,0.13113994439295645
IR,5,0.6781206171107994,0.13160333642261354
IR,5,0.6788218793828892,0.13160333642261354
IR,5,0.6788218793828892,0.1334569045412419
IR,5,0.6809256661991585,0.1334569045412419
IR,5,0.6809256661991585,0.13438368860055608
IR,5,0.6816269284712483,0.13438368860055608
IR,5,0.6816269284712483,0.13484708063021317
IR,5,0.6823281907433381,0.13484708063021317
IR,5,0.6823281907433381,0.13670064874884152
IR,5,0.6837307152875175,0.13670064874884152
IR,5,0.6837307152875175,0.1376274328081557
IR,5,0.6858345021037868,0.1376274328081557
IR,5,0.6858345021037868,0.13855421686746988
IR,5,0.6879382889200562,0.13855421686746988
IR,5,0.6879382889200562,0.13901760889712697
IR,5,0.6886395511921458,0.13901760889712697
IR,5,0.6886395511921458,0.14272474513438368
IR,5,0.6893408134642356,0.14272474513438368
IR,5,0.6893408134642356,0.14550509731232622
IR,5,0.6900420757363254,0.14550509731232622
IR,5,0.6900420757363254,0.1459684893419833
IR,5,0.6907433380084151,0.1459684893419833
IR,5,0.6907433380084151,0.1464318813716404
IR,5,0.6921458625525947,0.1464318813716404
IR,5,0.6921458625525947,0.1468952734012975
IR,5,0.6942496493688639,0.1468952734012975
IR,5,0.6942496493688639,0.14735866543095458
IR,5,0.6956521739130435,0.14735866543095458
IR,5,0.6956521739130435,0.14782205746061167
IR,5,0.697054698457223,0.14782205746061167
IR,5,0.697054698457223,0.14828544949026876
IR,5,0.6991584852734923,0.14828544949026876
IR,5,0.6991584852734923,0.14967562557924002
IR,5,0.7005610098176718,0.14967562557924002
IR,5,0.7005610098176718,0.15106580166821132
IR,5,0.7012622720897616,0.15106580166821132
IR,5,0.7012622720897616,0.1524559777571826
IR,5,0.7026647966339411,0.1524559777571826
IR,5,0.7026647966339411,0.15291936978683968
IR,5,0.7040673211781207,0.15291936978683968
IR,5,0.7040673211781207,0.15384615384615385
IR,5,0.7047685834502104,0.15384615384615385
IR,5,0.7047685834502104,0.1561631139944393
IR,5,0.7061711079943899,0.1561631139944393
IR,5,0.7061711079943899,0.15755329008341057
IR,5,0.7068723702664796,0.15755329008341057
IR,5,0.7068723702664796,0.15848007414272475
IR,5,0.7075736325385694,0.15848007414272475
IR,5,0.7075736325385694,0.15987025023169602
IR,5,0.7103786816269285,0.15987025023169602
IR,5,0.7103786816269285,0.1607970342910102
IR,5,0.7110799438990182,0.1607970342910102
IR,5,0.7110799438990182,0.16218721037998146
IR,5,0.711781206171108,0.16218721037998146
IR,5,0.711781206171108,0.16265060240963855
IR,5,0.7124824684431977,0.16265060240963855
IR,5,0.7124824684431977,0.16311399443929564
IR,5,0.7131837307152875,0.16311399443929564
IR,5,0.7131837307152875,0.16404077849860982
IR,5,0.7138849929873773,0.16404077849860982
IR,5,0.7138849929873773,0.1645041705282669
IR,5,0.7145862552594671,0.1645041705282669
IR,5,0.7145862552594671,0.16543095458758109
IR,5,0.7152875175315568,0.16543095458758109
IR,5,0.7152875175315568,0.16682113067655235
IR,5,0.7166900420757363,0.16682113067655235
IR,5,0.7166900420757363,0.16728452270620944
IR,5,0.717391304347826,0.16728452270620944
IR,5,0.717391304347826,0.1691380908248378
IR,5,0.7187938288920056,0.1691380908248378
IR,5,0.7187938288920056,0.1705282669138091
IR,5,0.7223001402524544,0.1705282669138091
IR,5,0.7223001402524544,0.1742354031510658
IR,5,0.7237026647966339,0.1742354031510658
IR,5,0.7237026647966339,0.1746987951807229
IR,5,0.7244039270687237,0.1746987951807229
IR,5,0.7244039270687237,0.17516218721038
IR,5,0.7258064516129032,0.17516218721038
