bin,coverage,motif,group,region
43,0.017392392392392392,G4_3t_long,Retained,core
44,0.01701701701701702,G4_3t_long,Retained,core
45,0.016891891891891893,G4_3t_long,Retained,core
46,0.016766766766766767,G4_3t_long,Retained,core
47,0.017267267267267267,G4_3t_long,Retained,core
48,0.017392392392392392,G4_3t_long,Retained,core
49,0.016766766766766767,G4_3t_long,Retained,core
50,0.01701701701701702,G4_3t_long,Retained,core
51,0.016766766766766767,G4_3t_long,Retained,core
52,0.01714214214214214,G4_3t_long,Retained,core
53,0.016516516516516516,G4_3t_long,Retained,core
54,0.016891891891891893,G4_3t_long,Retained,core
55,0.01614114114114114,G4_3t_long,Retained,core
56,0.015515515515515516,G4_3t_long,Retained,core
57,0.015265265265265265,G4_3t_long,Retained,core
58,0.015640640640640642,G4_3t_long,Retained,core
59,0.015265265265265265,G4_3t_long,Retained,core
60,0.01589089089089089,G4_3t_long,Retained,core
61,0.014889889889889889,G4_3t_long,Retained,core
62,0.014889889889889889,G4_3t_long,Retained,core
63,0.01413913913913914,G4_3t_long,Retained,core
64,0.013763763763763764,G4_3t_long,Retained,core
65,0.013888888888888888,G4_3t_long,Retained,core
66,0.01413913913913914,G4_3t_long,Retained,core
67,0.014014014014014014,G4_3t_long,Retained,core
68,0.014764764764764765,G4_3t_long,Retained,core
69,0.014889889889889889,G4_3t_long,Retained,core
70,0.014889889889889889,G4_3t_long,Retained,core
71,0.014514514514514515,G4_3t_long,Retained,core
72,0.01413913913913914,G4_3t_long,Retained,core
73,0.013638638638638638,G4_3t_long,Retained,core
74,0.012512512512512513,G4_3t_long,Retained,core
75,0.012637637637637637,G4_3t_long,Retained,core
76,0.012762762762762763,G4_3t_long,Retained,core
77,0.013263263263263263,G4_3t_long,Retained,core
78,0.012762762762762763,G4_3t_long,Retained,core
79,0.012637637637637637,G4_3t_long,Retained,core
80,0.012637637637637637,G4_3t_long,Retained,core
81,0.012137137137137138,G4_3t_long,Retained,core
82,0.012012012012012012,G4_3t_long,Retained,core
83,0.011636636636636636,G4_3t_long,Retained,core
84,0.010760760760760761,G4_3t_long,Retained,core
85,0.010510510510510511,G4_3t_long,Retained,core
86,0.010510510510510511,G4_3t_long,Retained,core
87,0.01026026026026026,G4_3t_long,Retained,core
88,0.01001001001001001,G4_3t_long,Retained,core
89,0.009134134134134135,G4_3t_long,Retained,core
90,0.01026026026026026,G4_3t_long,Retained,core
91,0.009384384384384385,G4_3t_long,Retained,core
92,0.009384384384384385,G4_3t_long,Retained,core
93,0.01001001001001001,G4_3t_long,Retained,core
94,0.00975975975975976,G4_3t_long,Retained,core
95,0.009884884884884884,G4_3t_long,Retained,core
96,0.009259259259259259,G4_3t_long,Retained,core
97,0.009134134134134135,G4_3t_long,Retained,core
98,0.008758758758758759,G4_3t_long,Retained,core
99,0.008883883883883883,G4_3t_long,Retained,core
100,0.008633633633633633,G4_3t_long,Retained,core
101,0.009009009009009009,G4_3t_long,Retained,core
102,0.008383383383383384,G4_3t_long,Retained,core
103,0.008258258258258258,G4_3t_long,Retained,core
104,0.008633633633633633,G4_3t_long,Retained,core
105,0.008633633633633633,G4_3t_long,Retained,core
106,0.008383383383383384,G4_3t_long,Retained,core
107,0.007257257257257258,G4_3t_long,Retained,core
108,0.006881881881881882,G4_3t_long,Retained,core
109,0.006006006006006006,G4_3t_long,Retained,core
110,0.006256256256256257,G4_3t_long,Retained,core
111,0.006006006006006006,G4_3t_long,Retained,core
112,0.005755755755755756,G4_3t_long,Retained,core
113,0.00513013013013013,G4_3t_long,Retained,core
114,0.0055055055055055055,G4_3t_long,Retained,core
115,0.00563063063063063,G4_3t_long,Retained,core
116,0.00513013013013013,G4_3t_long,Retained,core
117,0.004629629629629629,G4_3t_long,Retained,core
118,0.002877877877877878,G4_3t_long,Retained,core
119,0.0011261261261261261,G4_3t_long,Retained,core
120,0.00037537537537537537,G4_3t_long,Retained,right
121,0.0005005005005005005,G4_3t_long,Retained,right
122,0.0005005005005005005,G4_3t_long,Retained,right
123,0.0005005005005005005,G4_3t_long,Retained,right
124,0.00037537537537537537,G4_3t_long,Retained,right
125,0.00037537537537537537,G4_3t_long,Retained,right
126,0.00037537537537537537,G4_3t_long,Retained,right
127,0.00037537537537537537,G4_3t_long,Retained,right
128,0.00025025025025025025,G4_3t_long,Retained,right
129,0.00025025025025025025,G4_3t_long,Retained,right
130,0.00025025025025025025,G4_3t_long,Retained,right
131,0.00025025025025025025,G4_3t_long,Retained,right
132,0.00025025025025025025,G4_3t_long,Retained,right
133,0.00025025025025025025,G4_3t_long,Retained,right
134,0.00025025025025025025,G4_3t_long,Retained,right
135,0.00025025025025025025,G4_3t_long,Retained,right
136,0.00025025025025025025,G4_3t_long,Retained,right
