model,fold,precision,recall
IR,5,0.4193738924985233,0.9957924263674615
IR,5,0.4194977843426883,0.9957924263674615
IR,5,0.41962174940898345,0.9957924263674615
IR,5,0.4197457877623411,0.9957924263674615
IR,5,0.41986989946777054,0.9957924263674615
IR,5,0.41999408459035786,0.9957924263674615
IR,5,0.42011834319526625,0.9957924263674615
IR,5,0.420242675347736,0.9957924263674615
IR,5,0.4203670811130847,0.9957924263674615
IR,5,0.4204915605567071,0.9957924263674615
IR,5,0.4206161137440758,0.9957924263674615
IR,5,0.42044444444444445,0.9950911640953717
IR,5,0.4205690574985181,0.9950911640953717
IR,5,0.42039727245775277,0.9943899018232819
IR,5,0.42022538552787664,0.9936886395511921
IR,5,0.42035004449718183,0.9936886395511921
IR,5,0.4204747774480712,0.9936886395511921
IR,5,0.42059958444642326,0.9936886395511921
IR,5,0.42072446555819476,0.9936886395511921
IR,5,0.42084942084942084,0.9936886395511921
IR,5,0.4209744503862151,0.9936886395511921
IR,5,0.42080237741456167,0.9929873772791024
IR,5,0.42092746730083236,0.9929873772791024
IR,5,0.42105263157894735,0.9929873772791024
IR,5,0.4211778703152885,0.9929873772791024
IR,5,0.4213031835763166,0.9929873772791024
IR,5,0.42142857142857143,0.9929873772791024
IR,5,0.42155403393867225,0.9929873772791024
IR,5,0.42167957117331745,0.9929873772791024
IR,5,0.42180518319928506,0.9929873772791024
IR,5,0.42193087008343266,0.9929873772791024
IR,5,0.4220566318926975,0.9929873772791024
IR,5,0.4221824686940966,0.9929873772791024
IR,5,0.42230838055472714,0.9929873772791024
IR,5,0.4224343675417661,0.9929873772791024
IR,5,0.42256042972247093,0.9929873772791024
IR,5,0.42268656716417913,0.9929873772791024
IR,5,0.42281277993430877,0.9929873772791024
IR,5,0.4229390681003584,0.9929873772791024
IR,5,0.4230654317299074,0.9929873772791024
IR,5,0.42319187089061566,0.9929873772791024
IR,5,0.4233183856502242,0.9929873772791024
IR,5,0.423444976076555,0.9929873772791024
IR,5,0.4235716422375112,0.9929873772791024
IR,5,0.4236983842010772,0.9929873772791024
IR,5,0.42382520203531876,0.9929873772791024
IR,5,0.4239520958083832,0.9929873772791024
IR,5,0.42407906558849956,0.9929873772791024
IR,5,0.4242061114439784,0.9929873772791024
IR,5,0.42433323344321244,0.9929873772791024
IR,5,0.42416067146282976,0.9922861150070126
IR,5,0.424287856071964,0.9922861150070126
IR,5,0.42441511697660467,0.9922861150070126
IR,5,0.4245424542454245,0.9922861150070126
IR,5,0.42466986794717887,0.9922861150070126
IR,5,0.4247973581507055,0.9922861150070126
IR,5,0.42492492492492495,0.9922861150070126
IR,5,0.4250525683388405,0.9922861150070126
