class_hls,delta
LL-RIs,393.4493757908527
LL-RIs,365.0699943977572
LL-RIs,416.1283988375598
LL-RIs,401.8004976459951
LL-RIs,412.2769864998952
LL-RIs,405.9350081615416
LL-RIs,364.69224331394344
LL-RIs,382.0098497787997
LL-RIs,403.2090658203059
LL-RIs,397.40784514632986
LL-RIs,415.82176876677056
LL-RIs,394.1923844480243
LL-RIs,408.3474114749624
LL-RIs,403.09268622146465
LL-RIs,401.57851219877006
LL-RIs,414.25500299092846
LL-RIs,390.50072947718894
LL-RIs,404.9913611065391
LL-RIs,424.4952275153023
LL-RIs,374.9058443357256
LL-RIs,403.48812629448884
LL-RIs,382.6027361796581
LL-RIs,412.08956552249975
LL-RIs,416.87287053046305
LL-RIs,403.48192230774885
LL-RIs,389.77601276645214
LL-RIs,405.67295980828743
LL-RIs,453.23504035050985
LL-RIs,427.1098925974376
LL-RIs,389.5738387661637
LL-RIs,440.15935011327
LL-RIs,405.76421441279155
LL-RIs,420.27841649628385
LL-RIs,425.04175333877225
LL-RIs,453.89679571754414
LL-RIs,388.8976527141973
LL-RIs,401.78413414801895
LL-RIs,418.72847886785416
LL-RIs,389.53062772390103
LL-RIs,399.5401564852837
LL-RIs,366.51730227786294
LL-RIs,399.46161821808954
LL-RIs,366.99926191096864
LL-RIs,413.16993041771775
LL-RIs,421.3382852659585
LL-RIs,405.3708332372585
LL-RIs,416.26504661679877
LL-RIs,444.80017777787594
LL-RIs,414.4102788366831
LL-RIs,400.0665163841705
LL-RIs,374.8276949144652
LL-RIs,454.8119645878985
LL-RIs,421.51790465412665
LL-RIs,409.11267769232853
LL-RIs,415.1724027745432
LL-RIs,401.38764113505323
LL-RIs,420.5945326186079
LL-RIs,438.2443044772643
LL-RIs,391.2892456121072
LL-RIs,383.1849300733714
LL-RIs,393.2832342162621
LL-RIs,426.30877814132697
LL-RIs,394.0822645547984
LL-RIs,406.04853044703805
LL-RIs,370.1825161291171
LL-RIs,390.1391336700383
LL-RIs,376.057827824137
LL-RIs,418.15345368350177
