class_ir,delta
Retained,0.38109814442098944
Retained,0.42198393335908946
Retained,0.3832183934269999
Retained,0.37302621076931847
Retained,0.4083464391444161
Retained,0.4388942857028439
Retained,0.3781675135134568
Retained,0.3878232733301756
Retained,0.3860734503760122
Retained,0.3895353080993466
Retained,0.36062614024785183
Retained,0.3903313296121245
Retained,0.4019975445125048
Retained,0.39366366392448143
Retained,0.3811449363242941
Retained,0.42029591253411164
Retained,0.42005899456150625
Retained,0.40303131872790243
Retained,0.3963141184217371
Retained,0.38374791465859054
Retained,0.3721001236437957
Retained,0.3834016019438781
Retained,0.3735585837203674
Retained,0.3902497938014269
Retained,0.4028830970398563
Retained,0.38680343543859197
Retained,0.3981675358815471
Retained,0.3722414260760572
Retained,0.3732596331770819
Retained,0.4001271311597849
Retained,0.37397823883632697
Retained,0.3894997499718368
Retained,0.4085580632860689
Retained,0.3681957966686127
Retained,0.36268704913204425
Retained,0.41288629056857634
Retained,0.4399771176446689
Retained,0.4003386325536712
Retained,0.38284373774565345
Retained,0.3570801705130816
Retained,0.3842726064411551
Retained,0.39723782845821687
Retained,0.34167621494043077
Retained,0.40453344966302035
Retained,0.3709773641224713
Retained,0.4164979149788827
Retained,0.3751297572530142
Retained,0.41511860615547164
Retained,0.3681969759591157
Retained,0.37709206156979286
Retained,0.38498530215792975
Retained,0.3739863097760533
Retained,0.41166341635302306
Retained,0.41816932112654853
Retained,0.3810322365596689
Retained,0.3576883135822845
Retained,0.3938397325612635
Retained,0.38517918894314795
Retained,0.4030610932904971
Retained,0.33754042755639163
Retained,0.3522132422910828
Retained,0.37300186446607486
Retained,0.383257378325526
Retained,0.35481195876517924
Retained,0.417617996270113
Retained,0.39782517744265733
Retained,0.3739358156665812
Retained,0.40485548157667584
Retained,0.407468046713416
Retained,0.4028237012714478
Retained,0.3850733176970267
Retained,0.38202923718947757
Retained,0.3690184739818229
Retained,0.3750202087176021
Retained,0.3866378105981559
Retained,0.4218576973264533
Retained,0.3933452761887565
Retained,0.40343547868305085
Retained,0.3716760088306872
Retained,0.41831041353697035
Retained,0.46036824017945116
Retained,0.3587125295780308
Retained,0.3715399445708941
Retained,0.37617982982829334
Retained,0.3788042734901635
Retained,0.3697703737982013
Retained,0.3637281695977612
Retained,0.4117441199641866
Retained,0.3735735051137118
Retained,0.35071494412568593
Retained,0.37680799199027276
Retained,0.3943685411031887
Retained,0.39849364184399755
Retained,0.3973252723855726
Retained,0.3905715028436393
Retained,0.41236375260015407
Retained,0.3805807493759625
Retained,0.40260520529259575
Retained,0.4083812475515363
Retained,0.4134925421875103
Retained,0.36941789894726973
Retained,0.4104859979384858
Retained,0.3770249528527389
Retained,0.4426259392228321
Retained,0.3962493028485262
Retained,0.37324355223837297
Retained,0.3588183784065153
Retained,0.4089595241047023
Retained,0.3902665264095709
Retained,0.3842352760019133
Retained,0.37375453400734987
Retained,0.3806493784769756
Retained,0.393029711984882
Retained,0.38306608109932067
Retained,0.4011947866138268
Retained,0.41008980857489985
Retained,0.38964605237707933
Retained,0.3520651623932202
Retained,0.3561268133142544
Retained,0.3993271922086508
Retained,0.39371456250890097
Retained,0.38411433430570463
Retained,0.39839011301831595
Retained,0.33765022755595553
Retained,0.36560323948420725
Retained,0.3992083389260032
Retained,0.37640649596377407
Retained,0.37573427774410156
Retained,0.36628486541907446
Retained,0.39805012808209184
Retained,0.3682808964709572
Retained,0.3543331865817111
Retained,0.3667455399980942
Retained,0.3954723906841867
Retained,0.37260332154987214
Retained,0.3939481653624558
Retained,0.44154050153259716
Retained,0.3850363632877926
Retained,0.35827832331648685
Retained,0.4451990038868473
Retained,0.3665874120829881
Retained,0.400964738770765
Retained,0.3589729920969774
Retained,0.41618722925537244
Retained,0.38932970262631306
Retained,0.3880156623527508
Retained,0.40792661606008485
Retained,0.3918157937731297
Retained,0.399017087082263
Retained,0.36671389328126014
Retained,0.4074070398113086
Retained,0.3601607704976388
Retained,0.3816851631947933
Retained,0.36869534517426716
Retained,0.4063128340157895
Retained,0.3685690657888653
Retained,0.3892012264078812
Retained,0.37250978378203337
Retained,0.376022969049447
Retained,0.40633280955993073
Retained,0.4017530271642671
Retained,0.38146073284844473
Retained,0.3776349663602707
Retained,0.3948727417553797
Retained,0.3813979805639394
Retained,0.3812353592745429
Retained,0.3975884630502957
Retained,0.3860831903937202
Retained,0.37477280232647586
Retained,0.35902810556438164
Retained,0.4237291400229767
Retained,0.4186062077399632
Retained,0.3620743999337969
Retained,0.38660109360026346
Retained,0.4000138000655385
Retained,0.33857267318418255
Retained,0.41014350500405505
Retained,0.4316000324612411
Retained,0.37325957204998533
Retained,0.40347138294829327
Retained,0.41171411200739877
Retained,0.39597575166568644
Retained,0.4116183019169826
Retained,0.36884629071678215
Retained,0.40061607883264777
Retained,0.3728350818826441
Retained,0.3796344777426697
Retained,0.37907209114163615
Retained,0.3757706536036111
Retained,0.3721845279163527
Retained,0.38610533590673635
Retained,0.3768126744530826
Retained,0.3815365688676828
Retained,0.37580592400281654
Retained,0.40180463477836764
Retained,0.4024196175455066
Retained,0.3705834212195984
Retained,0.400569880529948
Retained,0.39462188843887297
Retained,0.3805159791496035
Retained,0.3649122656726448
Retained,0.36394384839260263
Retained,0.38948376247344985
Retained,0.38012763681642353
Retained,0.42712019989171746
Retained,0.3816440053459805
Retained,0.39638109326721743
Retained,0.39480749520296093
Retained,0.36931270595766247
Retained,0.41329346537781314
Retained,0.394638979887744
